Year,Player,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad_Jump,3Cone,Shuttle,School,Conf,Class,G_season,Rec_Season,Rec_Yds_Season,Rec_Avg_Season,Rec_TD_Season,Career_Rec,Career_Rec_Yds,Career_Rec_Avg,Career_Rec_TD,NFL_Years,Average_AV,AAV2
2002,Josh Reed,21,33,LSU,70,210,4.54,,,,,,LSU,SEC,3,12,94,1740,18.5,7,167,3001,18,17,8,4.125,17.015625
2002,Tim Carter,22,10,Auburn,70,190,4.32,39,,126,6.68,3.93,Auburn,SEC,3,11,35,570,16.3,3,57,842,14.8,4,8,1.25,1.5625
2002,Andre' Davis,22,26,Virginia Tech,73,194,4.42,39.5,,123,6.77,4.1,Virginia Tech,Big East,4,11,39,623,16,7,110,2094,19,19,8,3.25,10.5625
2002,Reche Caldwell,22,21,Florida,72,194,4.53,41.5,,130,7,4.1,Florida,SEC,3,11,65,1059,16.3,10,141,2088,14.8,18,6,3.5,12.25
2002,Antwaan Randle El,22,49,Indiana,70,191,4.49,,,,,,Indiana,Big Ten,4,11,188,964,5.1,8,857,3895,4.5,44,9,5.444444444,29.64197531
2002,Antonio Bryant,20,42,Pittsburgh,73,188,4.57,37,,121,,,Pitt,Big East,3,10,42,659,15.7,9,161,2805,17.4,26,8,5.25,27.5625
2002,Deion Branch,22,64,Louisville,69,191,4.47,36,,117,6.71,3.78,Louisville,CUSA,4,12,72,1188,16.5,9,143,2204,15.4,18,11,5.818181818,33.85123967
2002,Cliff Russell,23,0,Utah,71,185,4.36,,,,,,Utah,MWC,4,11,53,744,14,4,124,1862,15,10,6,0,0
2001,David Terrell,21,12,Michigan,75,213,4.43,,,,,,Michigan,Big Ten,3,11,63,994,15.8,13,137,2005,14.6,19,5,2.4,5.76
2001,Koren Robinson,20,39,North Carolina State,73,211,4.61,,,,,,North Carolina State,ACC,2,11,62,1061,17.1,13,110,1914,17.4,15,8,4.875,23.765625
2001,Rod Gardner,23,27,Clemson,74,219,4.48,,,,,,Clemson,ACC,4,11,51,956,18.7,6,159,2404,15.1,12,6,4.5,20.25
2001,Santana Moss,21,93,Miami (FL),70,184,4.31,,,,,,Miami (FL),Big East,4,11,45,748,16.6,5,143,2547,17.8,19,14,6.642857143,44.12755102
2001,Freddie Mitchell,22,14,UCLA,71,185,4.46,39.5,,120,6.95,4.06,UCLA,Pac-10,3,11,68,1314,19.3,8,110,1955,17.8,9,4,3.5,12.25
2001,Reggie Wayne,22,155,Miami (FL),72,198,4.45,,,,,,Miami (FL),Big East,4,11,43,755,17.6,10,173,2510,14.5,20,14,11.07142857,122.5765306
2001,Quincy Morgan,23,22,Kansas State,73,211,4.48,,,,,,Kansas State,Big 12,4,13,64,1166,18.2,14,106,2173,20.5,23,6,3.666666667,13.44444444
2001,Chad OchoCinco,23,104,Oregon State,73,192,4.57,33,,108,7.51,4.14,Oregon State,Pac-10,4,12,37,806,21.8,8,37,806,21.8,8,11,9.454545455,89.38842975
2001,Robert Ferguson,21,20,Texas A&M,73,205,4.48,36.5,,120,7.24,4.07,Texas A&M,Big 12,3,10,58,885,15.3,6,58,885,15.3,6,8,2.5,6.25
2001,Chris Chambers,22,70,Wisconsin,72,210,4.33,45,,134,,4,Wisconsin,Big Ten,4,9,52,813,15.6,5,127,2004,15.8,16,10,7,49
2001,Steve Smith,21,139,Utah,69,184,4.41,38.5,,121,7.44,4.25,Utah,MWC,4,10,35,743,21.2,4,78,1603,20.6,12,16,8.6875,75.47265625
2001,Snoop Minnis,24,5,Florida State,73,171,4.57,37.5,,115,7.06,4.07,Florida State,ACC,4,12,63,1340,21.3,11,115,2098,18.2,17,2,2.5,6.25
2000,Peter Warrick,22,29,Florida State,71,194,4.58,,,,,,Florida State,ACC,,9,71,934,13.2,8,207,3517,17,32,6,4.833333333,23.36111111
2000,Plaxico Burress,22,83,Michigan State,77,231,4.59,33,,115,,,Michigan State,Big Ten,,12,66,1142,17.3,12,131,2155,16.5,20,13,6.384615385,40.76331361
